species,longitude,latitude
Tulipa carinata,67.8431,38.8396
Tulipa carinata,67.7366,38.8096
Tulipa carinata,67.8076,38.7866
Tulipa carinata,68.0229,38.5884
Tulipa carinata,67.5554,38.7076
Tulipa carinata,67.5709,38.6377
Tulipa carinata,67.6232,38.5759
Tulipa carinata,67.4865,38.5516
Tulipa carinata,67.3865,38.4819
Tulipa carinata,67.3182,38.3997
Tulipa carinata,67.3600,38.2394
Tulipa carinata,67.4964,38.3378
Tulipa carinata,67.6383,38.4279
Tulipa carinata,67.7753,38.5178
Tulipa carinata,67.7217,38.3413
Tulipa carinata,67.2450,38.0872
Tulipa carinata,66.5639,37.7227
