species,longitude,latitude
Tulipa dubia,70.5554,42.0032
Tulipa dubia,69.8894,41.6724
Tulipa dubia,69.7044,41.6448
Tulipa dubia,70.0269,41.4787
Tulipa dubia,70.1062,41.5024
Tulipa dubia,69.9159,41.4509
Tulipa dubia,70.0533,41.4192
Tulipa dubia,70.2172,41.4232
Tulipa dubia,70.0797,41.3439
Tulipa dubia,69.9159,41.2565
Tulipa dubia,70.0322,41.2287
Tulipa dubia,69.7784,41.1491
Tulipa dubia,70.4286,41.3518
Tulipa dubia,70.5924,41.3796
Tulipa dubia,70.6876,41.3717
Tulipa dubia,70.6717,41.3042
Tulipa dubia,70.7351,41.2446
Tulipa dubia,71.2690,41.4985
Tulipa dubia,70.6136,41.1969
Tulipa dubia,70.0639,42.0506
Tulipa dubia,70.4180,41.0615
Tulipa dubia,70.3229,40.9219
Tulipa dubia,70.1432,40.8620
Tulipa dubia,70.0903,40.8060
Tulipa dubia,70.4074,41.3042
Tulipa dubia,70.3123,41.2287
Tulipa dubia,70.1854,41.1810
Tulipa dubia,70.7457,41.1054
Tulipa dubia,70.4788,42.1012
Tulipa dubia,70.0500,41.4948
Tulipa dubia,71.3875,41.4113
Tulipa dubia,69.9759,41.4969
Tulipa dubia,70.6686,42.2823
