species,longitude,latitude
Tulipa kaufmanniana,70.92,42.05
Tulipa kaufmanniana,70.2243,41.7148
Tulipa kaufmanniana,70.7780,41.9592
Tulipa kaufmanniana,70.4738,42.0144
Tulipa kaufmanniana,70.5944,41.8820
Tulipa kaufmanniana,70.3069,41.9119
Tulipa kaufmanniana,70.3611,41.7265
Tulipa kaufmanniana,70.2561,41.6691
Tulipa kaufmanniana,70.1240,41.7805
Tulipa kaufmanniana,69.9584,41.6859
Tulipa kaufmanniana,70.0190,41.5171
Tulipa kaufmanniana,69.9036,41.4841
Tulipa kaufmanniana,69.7822,41.6404
Tulipa kaufmanniana,69.5827,41.5312
Tulipa kaufmanniana,69.8911,41.49
Tulipa kaufmanniana,69.7551,41.4463
Tulipa kaufmanniana,69.479,41.5109
Tulipa kaufmanniana,69.4112,41.4464
Tulipa kaufmanniana,69.7049,41.3039
Tulipa kaufmanniana,69.9084,41.3543
Tulipa kaufmanniana,70.0028,41.2691
Tulipa kaufmanniana,70.0471,41.1672
Tulipa kaufmanniana,70.2280,41.2239
Tulipa kaufmanniana,70.4082,41.1954
Tulipa kaufmanniana,70.4066,41.0698
Tulipa kaufmanniana,70.3536,40.9475
Tulipa kaufmanniana,70.1908,40.8804
Tulipa kaufmanniana,70.0687,40.7993
Tulipa kaufmanniana,70.0458,40.7279
Tulipa kaufmanniana,69.9382,40.7487
Tulipa kaufmanniana,69.7945,40.7525
Tulipa kaufmanniana,69.7001,40.6607
Tulipa kaufmanniana,69.6149,40.7424
Tulipa kaufmanniana,69.4801,40.8138
Tulipa kaufmanniana,69.8848,40.8748
Tulipa kaufmanniana,69.7995,40.9430
Tulipa kaufmanniana,69.7276,41.0248
Tulipa kaufmanniana,69.7188,41.1438
Tulipa kaufmanniana,69.8273,41.2049
Tulipa kaufmanniana,69.9038,41.1231
Tulipa kaufmanniana,69.9259,41.0176
Tulipa kaufmanniana,69.9446,41.1570
Tulipa kaufmanniana,70.0936,41.1360
Tulipa kaufmanniana,69.7641,41.2220
Tulipa kaufmanniana,69.9820,41.3711
