species,longitude,latitude
Tulipa mogoltavica,69.6223,40.6394
Tulipa mogoltavica,69.7085,40.5819
Tulipa mogoltavica,69.5291,40.3978
Tulipa mogoltavica,69.6343,40.3809
Tulipa mogoltavica,69.6358,40.3335
Tulipa mogoltavica,69.5618,40.3267
Tulipa mogoltavica,69.4804,40.3141
Tulipa mogoltavica,69.4758,40.3605
Tulipa mogoltavica,69.9406,40.8647
Tulipa mogoltavica,69.8306,40.7819
Tulipa mogoltavica,69.4524,40.8234
Tulipa mogoltavica,69.5428,40.8858
Tulipa mogoltavica,69.6361,40.9854
Tulipa mogoltavica,69.7763,41.0392
Tulipa mogoltavica,69.8679,41.5088
