species,longitude,latitude
Tulipa_tubergeniana,66.7615,37.7167
Tulipa_tubergeniana,68.3483,38.7674
Tulipa_tubergeniana,68.4742,38.2018
Tulipa_tubergeniana,68.2970,38.1490
Tulipa_tubergeniana,67.8338,38.5781
Tulipa_tubergeniana,67.8128,38.4464
Tulipa_tubergeniana,67.0403,38.2250
Tulipa_tubergeniana,67.2480,38.2797
Tulipa_tubergeniana,66.8600,37.9425
Tulipa_tubergeniana,67.1429,38.0362
Tulipa_tubergeniana,67.3104,38.1151
Tulipa_tubergeniana,67.4539,38.0731
Tulipa_tubergeniana,66.7884,37.6762
Tulipa_tubergeniana,66.6972,37.6788
Tulipa_tubergeniana,66.5729,37.6750
